"parameter","mean","median","Q2.5","Q97.5","prob_above","site_name"
"p_site_1",7.35067786553224,7.00766108329048,2.56974553827054,14.2080516840893,0.772593,"Borama"
"p_site_2",4.6850576828483,3.89343522821875,0.0148374609354492,14.1212527342993,0.399317,"HGH"
"p_site_3",12.4286851791992,12.0032346539149,6.05713521077694,21.2020457385175,0.992998,"SH. Ali Jowhar"
"p_site_4",7.08462638143633,5.80099355405333,0.0303041987483545,23.3681391671722,0.561456,"Agabar"
"p_site_5",5.73967283352802,4.82735328538736,0.0223377071650797,17.7014365620436,0.48533,"Baki"
"p_site_6",5.44448673441173,5.05151586987957,1.1311952687174,12.0016417230371,0.507075,"Berbera"
